id;name;description;quantity;unit_cost
1;Ergonomic District;../fake-data/blob/hipster.txt;92275;37276
2;Buckinghamshire Markets Florida;../fake-data/blob/hipster.txt;21626;37208
3;Producer Focused Wyoming;../fake-data/blob/hipster.txt;15795;59534
4;pixel;../fake-data/blob/hipster.txt;88070;82178
5;purple Lead;../fake-data/blob/hipster.txt;69740;70215
6;disintermediate Corporate;../fake-data/blob/hipster.txt;55475;42575
7;copying;../fake-data/blob/hipster.txt;35441;77262
8;Fish;../fake-data/blob/hipster.txt;67097;79602
9;Card Loan panel;../fake-data/blob/hipster.txt;76770;41660
10;national Overpass;../fake-data/blob/hipster.txt;61494;8989
